TransactionID,TransactionDate,City,Category,Product,UnitPrice_SAR,Quantity,TotalSales_SAR,PaymentMethod
113,2025-02-24,Khobar,Electronics,Smart Watch,1182.77,5,5913.85,Mastercard
114,2026-03-03,Riyadh,Apparel,Thobe Classic,403.16,5,2015.8,Visa
115,2026-03-30,Makkah,Beauty,Beard Oil,168.94,5,844.7,Apple Pay
116,2025-03-03,Dammam,Groceries,Honey Pure,129.73,1,129.73,Visa
117,2025-03-25,Medina,Apparel,Sports Sneakers,178.53,2,357.06,Cash
118,2026-02-23,Riyadh,Apparel,Thobe Classic,325.25,5,1626.25,Apple Pay
119,2025-10-23,Dammam,Electronics,Samsung Galaxy S24,3681.3,4,14725.2,Mada
120,2025-07-22,Medina,Apparel,Sports Sneakers,312.57,5,1562.85,Visa
121,2025-05-26,Medina,Apparel,Sports Sneakers,135.7,2,271.4,Mastercard
122,2026-03-26,Makkah,Groceries,Basmati Rice,42.38,3,127.14,Apple Pay
123,2026-05-21,Dammam,Groceries,Honey Pure,98.8,5,494.0,Mada
124,2025-09-14,Khobar,Home & Kitchen,Vacuum Cleaner,177.16,2,354.32,Cash
125,2025-02-11,Makkah,Electronics,Sony Headphones,3933.99,2,7867.98,Apple Pay
126,2025-07-05,Makkah,Beauty,Sunscreen,448.78,4,1795.12,Apple Pay
127,2026-02-23,Riyadh,Beauty,Sunscreen,183.32,1,183.32,Visa
128,2025-10-23,Dammam,Beauty,Beard Oil,315.03,4,1260.12,Cash
129,2025-11-19,Riyadh,Beauty,Oud Perfume,150.96,1,150.96,Apple Pay
130,2026-04-19,Makkah,Electronics,Smart Watch,2359.61,2,4719.22,Cash
131,2026-03-29,Dammam,Groceries,Arabic Coffee Beans,156.8,2,313.6,Mastercard
132,2026-03-25,Makkah,Apparel,Sports Sneakers,540.42,4,2161.68,Mada
133,2025-06-12,Riyadh,Groceries,Olive Oil,75.94,1,75.94,Cash
134,2025-04-27,Khobar,Electronics,Samsung Galaxy S24,2576.52,1,2576.52,Visa
135,2025-10-07,Khobar,Home & Kitchen,Vacuum Cleaner,586.26,4,2345.04,Apple Pay
136,2025-05-29,Jeddah,Beauty,Gift Set,203.43,5,1017.15,Cash
137,2025-10-10,Medina,Apparel,Thobe Classic,486.34,4,1945.36,Mastercard
138,2025-10-17,Makkah,Home & Kitchen,Arabic Coffee Maker,912.35,5,4561.75,Cash
139,2026-04-03,Medina,Beauty,Moisturizer,265.43,3,796.29,Mastercard
140,2026-04-12,Makkah,Groceries,Arabic Coffee Beans,187.91,2,375.82,Visa
141,2026-02-25,Makkah,Beauty,Moisturizer,67.46,4,269.84,Apple Pay
142,2025-02-07,Khobar,Apparel,Leather Sandals,163.12,5,815.6,Mastercard
143,2026-06-23,Riyadh,Beauty,Oud Perfume,414.18,1,414.18,Visa
144,2026-04-26,Khobar,Apparel,Thobe Classic,490.76,3,1472.28,Mastercard
145,2025-12-03,Makkah,Beauty,Oud Perfume,390.94,5,1954.7,Apple Pay
146,2025-02-06,Dammam,Beauty,Gift Set,296.98,2,593.96,Mastercard
147,2025-04-11,Jeddah,Electronics,iPad Air,3921.66,1,3921.66,Apple Pay
148,2025-02-17,Jeddah,Home & Kitchen,Arabic Coffee Maker,490.59,1,490.59,Mastercard
149,2025-05-30,Dammam,Home & Kitchen,Dinner Set,406.41,4,1625.64,Cash
150,2025-06-29,Medina,Apparel,Abaya Modern,139.48,4,557.92,Cash
151,2025-05-27,Medina,Apparel,Leather Sandals,216.09,3,648.27,Apple Pay
152,2025-10-22,Dammam,Electronics,iPad Air,3549.25,2,7098.5,Mada
153,2025-11-03,Khobar,Home & Kitchen,Vacuum Cleaner,820.89,4,3283.56,Mastercard
154,2026-01-29,Khobar,Home & Kitchen,Air Fryer,1046.0,1,1046.0,Visa
155,2025-10-30,Khobar,Groceries,Basmati Rice,198.68,3,596.04,Mada
156,2025-01-09,Medina,Beauty,Sunscreen,276.37,1,276.37,Cash
157,2025-08-24,Medina,Beauty,Sunscreen,292.83,3,878.49,Visa
158,2025-09-14,Medina,Apparel,Formal Suit,438.88,2,877.76,Mada
159,2026-03-28,Medina,Electronics,Sony Headphones,650.14,3,1950.42,Visa
160,2026-03-02,Riyadh,Home & Kitchen,Blender,334.42,2,668.84,Cash
161,2025-10-07,Dammam,Groceries,Honey Pure,169.49,3,508.47,Apple Pay
162,2026-04-25,Dammam,Home & Kitchen,Arabic Coffee Maker,1161.04,2,2322.08,Visa
163,2026-01-10,Medina,Beauty,Gift Set,86.12,4,344.48,Mada
164,2026-04-11,Dammam,Groceries,Dates Premium,86.35,3,259.05,Cash
165,2025-08-28,Khobar,Home & Kitchen,Arabic Coffee Maker,645.05,5,3225.25,Cash
166,2025-03-06,Dammam,Groceries,Olive Oil,134.37,4,537.48,Mastercard
167,2025-05-24,Medina,Beauty,Oud Perfume,68.14,1,68.14,Mastercard
168,2025-08-29,Khobar,Electronics,iPhone 15,4492.67,2,8985.34,Apple Pay
169,2026-03-06,Khobar,Home & Kitchen,Vacuum Cleaner,766.71,2,1533.42,Apple Pay
170,2026-02-22,Medina,Electronics,iPad Air,4725.74,3,14177.22,Mada
171,2026-03-31,Medina,Home & Kitchen,Air Fryer,616.93,2,1233.86,Mastercard
172,2026-01-03,Riyadh,Home & Kitchen,Vacuum Cleaner,213.58,3,640.74,Visa
173,2025-08-06,Riyadh,Beauty,Oud Perfume,306.68,5,1533.4,Mada
174,2025-05-09,Riyadh,Home & Kitchen,Air Fryer,976.33,2,1952.66,Mada
175,2025-08-10,Makkah,Apparel,Formal Suit,506.53,2,1013.06,Mastercard
176,2025-10-11,Jeddah,Groceries,Dates Premium,174.51,2,349.02,Visa
177,2025-04-23,Makkah,Home & Kitchen,Air Fryer,844.11,1,844.11,Visa
178,2025-11-28,Riyadh,Home & Kitchen,Air Fryer,166.57,3,499.71,Mada
179,2025-04-27,Jeddah,Beauty,Gift Set,348.27,4,1393.08,Apple Pay
180,2025-04-22,Dammam,Groceries,Honey Pure,101.36,2,202.72,Cash
181,2026-04-15,Riyadh,Groceries,Basmati Rice,135.8,1,135.8,Mada
182,2025-04-21,Khobar,Beauty,Beard Oil,246.11,4,984.44,Mada
183,2025-06-01,Riyadh,Home & Kitchen,Vacuum Cleaner,218.97,3,656.91,Cash
184,2025-11-29,Medina,Groceries,Honey Pure,88.56,5,442.8,Cash
185,2026-03-17,Dammam,Beauty,Gift Set,89.67,1,89.67,Cash
186,2026-04-08,Medina,Apparel,Leather Sandals,544.05,4,2176.2,Mastercard
187,2025-04-08,Khobar,Beauty,Beard Oil,175.02,3,525.06,Mastercard
188,2025-03-10,Dammam,Apparel,Leather Sandals,145.61,1,145.61,Mada
189,2025-05-14,Khobar,Electronics,Sony Headphones,3003.67,5,15018.35,Cash
190,2026-02-25,Makkah,Home & Kitchen,Arabic Coffee Maker,521.28,4,2085.12,Mada
191,2025-12-27,Dammam,Groceries,Basmati Rice,38.65,5,193.25,Visa
192,2025-04-21,Jeddah,Beauty,Moisturizer,190.05,5,950.25,Mastercard
193,2025-08-20,Riyadh,Home & Kitchen,Vacuum Cleaner,997.58,5,4987.9,Cash
194,2025-10-01,Makkah,Groceries,Dates Premium,25.21,3,75.63,Mastercard
195,2025-07-05,Dammam,Home & Kitchen,Arabic Coffee Maker,1063.36,5,5316.8,Apple Pay
196,2025-04-04,Riyadh,Apparel,Thobe Classic,473.06,2,946.12,Apple Pay
197,2025-06-11,Khobar,Beauty,Sunscreen,198.02,3,594.06,Cash
198,2025-06-09,Makkah,Electronics,iPhone 15,1208.34,5,6041.7,Mada
199,2026-03-30,Medina,Electronics,Sony Headphones,3478.72,4,13914.88,Cash
200,2025-08-09,Khobar,Beauty,Sunscreen,351.98,1,351.98,Mastercard
201,2026-05-14,Khobar,Electronics,Sony Headphones,2871.2,3,8613.6,Mada
202,2025-02-26,Jeddah,Beauty,Gift Set,53.07,3,159.21,Visa
203,2025-12-02,Jeddah,Home & Kitchen,Blender,275.98,4,1103.92,Apple Pay
204,2026-06-30,Jeddah,Apparel,Leather Sandals,451.84,5,2259.2,Cash
205,2026-02-11,Medina,Home & Kitchen,Arabic Coffee Maker,1054.85,1,1054.85,Apple Pay
206,2025-11-17,Riyadh,Beauty,Oud Perfume,280.3,5,1401.5,Apple Pay
207,2025-04-28,Medina,Beauty,Sunscreen,212.01,3,636.03,Visa
208,2025-04-01,Makkah,Beauty,Sunscreen,224.68,1,224.68,Visa
209,2026-06-21,Khobar,Groceries,Arabic Coffee Beans,34.16,3,102.48,Mastercard
210,2025-03-20,Jeddah,Home & Kitchen,Air Fryer,686.01,1,686.01,Cash
211,2025-12-26,Makkah,Apparel,Sports Sneakers,463.69,2,927.38,Visa
212,2025-07-22,Riyadh,Apparel,Sports Sneakers,186.75,2,373.5,Mada
213,2026-04-05,Jeddah,Beauty,Beard Oil,322.45,5,1612.25,Cash
214,2026-03-27,Dammam,Home & Kitchen,Air Fryer,221.7,4,886.8,Mastercard
215,2025-12-27,Dammam,Groceries,Dates Premium,111.32,3,333.96,Apple Pay
216,2026-01-13,Khobar,Electronics,iPhone 15,4242.63,1,4242.63,Mada
217,2026-01-29,Makkah,Groceries,Honey Pure,103.29,5,516.45,Mada
218,2025-11-26,Khobar,Groceries,Olive Oil,128.9,5,644.5,Visa
219,2025-12-18,Riyadh,Beauty,Oud Perfume,442.95,1,442.95,Cash
220,2025-09-11,Medina,Apparel,Thobe Classic,453.81,4,1815.24,Cash
221,2026-01-08,Makkah,Groceries,Olive Oil,87.11,3,261.33,Apple Pay
222,2025-02-23,Khobar,Home & Kitchen,Vacuum Cleaner,978.69,3,2936.07,Mada
223,2026-01-31,Dammam,Electronics,Smart Watch,1778.66,5,8893.3,Visa
224,2025-05-25,Dammam,Electronics,Smart Watch,4625.36,3,13876.08,Apple Pay
225,2025-11-14,Jeddah,Groceries,Dates Premium,120.61,3,361.83,Visa
226,2026-03-10,Medina,Groceries,Dates Premium,111.53,1,111.53,Mastercard
227,2025-12-16,Dammam,Apparel,Abaya Modern,573.83,4,2295.32,Visa
228,2025-03-21,Jeddah,Apparel,Abaya Modern,247.9,1,247.9,Cash
229,2025-12-11,Makkah,Groceries,Dates Premium,177.75,5,888.75,Visa
230,2025-06-16,Makkah,Beauty,Moisturizer,122.34,5,611.7,Visa
231,2026-02-25,Medina,Beauty,Oud Perfume,195.72,2,391.44,Apple Pay
232,2025-08-28,Makkah,Home & Kitchen,Dinner Set,710.71,3,2132.13,Apple Pay
233,2026-03-28,Jeddah,Home & Kitchen,Vacuum Cleaner,634.76,3,1904.28,Apple Pay
234,2025-06-15,Makkah,Groceries,Arabic Coffee Beans,167.04,5,835.2,Visa
235,2026-01-16,Dammam,Electronics,iPad Air,2995.43,1,2995.43,Cash
236,2025-06-14,Riyadh,Home & Kitchen,Arabic Coffee Maker,436.43,5,2182.15,Visa
237,2026-04-07,Khobar,Electronics,Samsung Galaxy S24,4480.83,1,4480.83,Apple Pay
238,2026-01-18,Riyadh,Beauty,Gift Set,144.31,1,144.31,Mastercard
239,2025-04-12,Jeddah,Electronics,Sony Headphones,4276.29,3,12828.87,Visa
240,2026-04-29,Jeddah,Electronics,Sony Headphones,3632.32,2,7264.64,Apple Pay
241,2025-03-23,Khobar,Groceries,Dates Premium,23.42,2,46.84,Visa
242,2026-03-10,Makkah,Groceries,Honey Pure,40.01,3,120.03,Visa
243,2025-09-02,Dammam,Electronics,iPhone 15,2389.21,5,11946.05,Apple Pay
244,2025-01-17,Riyadh,Electronics,iPad Air,3343.8,5,16719.0,Visa
245,2026-03-16,Medina,Apparel,Sports Sneakers,100.78,3,302.34,Visa
246,2025-03-29,Makkah,Beauty,Moisturizer,259.39,3,778.17,Mada
247,2026-06-04,Makkah,Groceries,Honey Pure,119.75,4,479.0,Apple Pay
248,2025-09-17,Riyadh,Beauty,Sunscreen,348.93,3,1046.79,Mada
249,2025-12-07,Dammam,Apparel,Thobe Classic,166.7,3,500.1,Cash
250,2026-05-06,Dammam,Apparel,Leather Sandals,415.87,2,831.74,Mada
251,2025-10-28,Medina,Beauty,Oud Perfume,130.64,2,261.28,Mada
252,2026-02-12,Dammam,Home & Kitchen,Vacuum Cleaner,1188.58,5,5942.9,Apple Pay
253,2025-10-20,Dammam,Electronics,Samsung Galaxy S24,2106.38,1,2106.38,Mastercard
254,2026-03-24,Dammam,Electronics,Sony Headphones,4502.69,4,18010.76,Apple Pay
255,2026-05-25,Dammam,Apparel,Leather Sandals,283.67,5,1418.35,Mastercard
256,2026-03-17,Riyadh,Beauty,Oud Perfume,290.98,2,581.96,Cash
257,2025-03-23,Dammam,Home & Kitchen,Arabic Coffee Maker,494.32,3,1482.96,Mastercard
258,2025-06-20,Khobar,Groceries,Arabic Coffee Beans,144.16,3,432.48,Apple Pay
259,2026-03-22,Riyadh,Home & Kitchen,Vacuum Cleaner,438.28,1,438.28,Mada
260,2026-06-10,Medina,Beauty,Sunscreen,370.44,2,740.88,Mada
261,2025-02-05,Jeddah,Groceries,Arabic Coffee Beans,42.72,2,85.44,Mastercard
262,2025-02-03,Dammam,Beauty,Gift Set,292.04,4,1168.16,Mastercard
263,2025-05-21,Dammam,Beauty,Oud Perfume,261.78,4,1047.12,Mastercard
264,2025-04-27,Medina,Home & Kitchen,Air Fryer,177.21,2,354.42,Apple Pay
265,2025-05-01,Makkah,Beauty,Gift Set,154.71,3,464.13,Apple Pay
266,2026-05-18,Jeddah,Groceries,Basmati Rice,56.03,2,112.06,Mada
267,2025-03-31,Khobar,Apparel,Leather Sandals,505.26,3,1515.78,Mastercard
268,2025-10-25,Medina,Electronics,Smart Watch,4510.99,2,9021.98,Visa
269,2025-05-05,Dammam,Groceries,Olive Oil,197.32,2,394.64,Visa
270,2026-01-13,Khobar,Electronics,Sony Headphones,2603.33,5,13016.65,Visa
271,2025-11-13,Makkah,Electronics,iPhone 15,2291.72,4,9166.88,Cash
272,2025-03-17,Khobar,Beauty,Gift Set,100.13,3,300.39,Mada
273,2025-12-19,Khobar,Beauty,Gift Set,101.33,5,506.65,Cash
274,2026-05-30,Jeddah,Apparel,Leather Sandals,555.36,1,555.36,Mada
275,2025-06-18,Makkah,Apparel,Sports Sneakers,180.98,2,361.96,Mastercard
276,2025-09-14,Makkah,Home & Kitchen,Arabic Coffee Maker,356.12,5,1780.6,Mastercard
277,2025-04-06,Jeddah,Home & Kitchen,Vacuum Cleaner,677.7,2,1355.4,Cash
278,2025-12-12,Makkah,Apparel,Abaya Modern,521.27,5,2606.35,Mada
279,2025-09-29,Riyadh,Electronics,iPhone 15,3430.08,5,17150.4,Apple Pay
280,2025-10-24,Makkah,Electronics,iPad Air,3388.58,3,10165.74,Apple Pay
281,2026-04-10,Jeddah,Beauty,Sunscreen,79.19,1,79.19,Visa
282,2026-04-21,Khobar,Beauty,Beard Oil,131.61,5,658.05,Visa
283,2026-02-13,Dammam,Home & Kitchen,Blender,287.3,3,861.9,Cash
284,2025-09-05,Makkah,Electronics,Sony Headphones,2599.13,3,7797.39,Apple Pay
285,2025-02-21,Jeddah,Apparel,Thobe Classic,245.11,4,980.44,Cash
286,2025-12-02,Khobar,Apparel,Abaya Modern,566.88,3,1700.64,Visa
287,2026-04-24,Jeddah,Beauty,Gift Set,249.5,3,748.5,Apple Pay
288,2026-06-02,Riyadh,Electronics,iPad Air,2557.54,2,5115.08,Visa
289,2025-02-21,Makkah,Home & Kitchen,Arabic Coffee Maker,445.42,5,2227.1,Apple Pay
290,2025-04-21,Dammam,Groceries,Dates Premium,97.57,3,292.71,Mastercard
291,2026-02-15,Khobar,Home & Kitchen,Arabic Coffee Maker,203.72,5,1018.6,Visa
292,2025-03-17,Dammam,Groceries,Basmati Rice,89.54,4,358.16,Cash
293,2025-05-02,Dammam,Groceries,Honey Pure,43.16,1,43.16,Apple Pay
294,2026-01-10,Dammam,Home & Kitchen,Vacuum Cleaner,942.71,2,1885.42,Cash
295,2025-02-11,Makkah,Beauty,Gift Set,68.12,2,136.24,Mastercard
296,2025-06-02,Khobar,Groceries,Arabic Coffee Beans,129.13,5,645.65,Visa
297,2025-06-16,Dammam,Groceries,Basmati Rice,90.73,5,453.65,Mastercard
298,2026-06-06,Makkah,Home & Kitchen,Vacuum Cleaner,708.96,5,3544.8,Mastercard
299,2025-12-06,Khobar,Electronics,Sony Headphones,3532.13,4,14128.52,Cash
300,2026-05-01,Dammam,Electronics,Smart Watch,1694.89,5,8474.45,Cash
301,2026-05-07,Jeddah,Electronics,Smart Watch,1267.3,5,6336.5,Apple Pay
302,2025-04-23,Jeddah,Apparel,Thobe Classic,195.39,4,781.56,Mastercard
303,2025-07-28,Khobar,Apparel,Leather Sandals,305.19,5,1525.95,Apple Pay
304,2026-06-16,Medina,Electronics,Samsung Galaxy S24,1433.04,3,4299.12,Apple Pay
305,2025-06-27,Makkah,Beauty,Sunscreen,233.87,5,1169.35,Mastercard
306,2026-05-11,Makkah,Home & Kitchen,Blender,351.88,2,703.76,Mastercard
307,2025-11-01,Makkah,Home & Kitchen,Air Fryer,959.73,2,1919.46,Apple Pay
308,2025-10-08,Dammam,Beauty,Sunscreen,165.12,5,825.6,Cash
309,2025-05-30,Khobar,Beauty,Sunscreen,166.18,3,498.54,Mada
310,2026-05-06,Dammam,Beauty,Sunscreen,135.59,5,677.95,Mastercard
311,2025-04-22,Makkah,Home & Kitchen,Air Fryer,796.46,5,3982.3,Visa
312,2025-08-20,Jeddah,Electronics,Smart Watch,3370.75,1,3370.75,Mada
313,2025-04-13,Khobar,Home & Kitchen,Dinner Set,865.25,2,1730.5,Mada
314,2026-05-03,Makkah,Apparel,Leather Sandals,338.72,2,677.44,Mastercard
315,2025-04-02,Dammam,Home & Kitchen,Arabic Coffee Maker,834.91,2,1669.82,Cash
316,2026-03-04,Medina,Electronics,Samsung Galaxy S24,4470.1,2,8940.2,Mada
317,2025-10-24,Khobar,Beauty,Moisturizer,400.7,1,400.7,Mastercard
318,2025-12-10,Makkah,Groceries,Dates Premium,71.22,5,356.1,Cash
319,2026-04-25,Khobar,Apparel,Formal Suit,236.42,1,236.42,Mastercard
